	WT1	WT2	WT3	PknF_KO1	PknF_KO2	PknF_KO3	PknF_IND1	PknF_IND2	PknF_IND3	PknG_KO1	PknG_KO2	PknG_KO3	PknG_IND1	PknG_IND2	PknG_IND3	PknI_KO1	PknI_KO2	PknI_KO3	PknI_IND1	PknI_IND2	PknI_IND3	PknJ_KO1	PknJ_KO2	PknJ_KO3	PknL_KO1	PknL_KO2	PknL_KO3	WT4	WT5	WT6	PknD_IND1	PknD_IND2	PknD_IND3	PknD_KO1	PknD_KO2	PknD_KO3	PknH_KO1	PknH_KO2	PknH_KO3	PknH_IND1	PknH_IND2	PknH_IND3	PknK_IND1	PknK_IND2	PknK_IND3	PknK_KO1	PknK_KO2	PknK_KO3	WT7	WT8	WT9	PknB_KD1	PknB_KD2	PknB_KD3	PknB_IND1	PknB_IND2	PknB_IND3	PknE_KO1	PknE_KO2	PknE_KO3	PknE_IND1	PknE_IND2	PknE_IND3	PknJ_IND1	PknJ_IND2	PknJ_IND3	WT10	WT11	PknL_IND1	PknL_IND2	PknL_IND3
Rv0001	60.119816	75.16965	50.456886	47.146492	53.55344	73.89529	175.32709	135.53596	199.33105	76.784874	88.07818	64.26757	56.84952	47.894756	76.51995	85.84961	92.025024	102.85474	54.726124	75.460686	60.920933	60.015034	72.99169	63.948906	71.31808	68.059685	76.9601	59.703617	87.30434	64.44845	97.95088	99.33803	73.302246	45.393497	38.155254	41.29791	87.220634	70.61377	71.18851	109.95943	84.597824	80.88122	35.085987	63.19669	45.511517	105.51333	97.5008	115.61306	64.28218	68.2773	78.76145	91.446465	113.394356	112.05169	30.377571	31.782145	23.381062	84.97123	62.53824	119.938286	269.8703	220.25485	254.79222	94.45446	70.60904	75.2133	354.68054	515.30066	299.3033	276.49527	309.29507
Rv0002	35.15682	40.88011	45.524876	34.702023	36.036415	24.83611	111.21008	87.60481	118.69267	40.244522	48.08458	50.717754	27.529228	19.361795	49.082954	51.80598	53.0978	45.341965	58.25858	31.170832	33.65571	37.252106	38.903347	38.08378	40.691547	45.379868	44.752182	28.015528	39.382294	35.348587	38.517258	44.67023	44.63385	30.99742	24.907547	17.777348	27.705925	37.7903	28.198801	32.62361	39.308258	27.91858	13.821404	34.655262	16.347841	30.85882	41.425312	66.7043	30.50461	31.277353	26.793905	82.739815	90.89112	92.49298	11.925756	22.484842	14.915442	24.057243	23.635065	46.118813	226.95758	221.28384	216.30243	82.77036	54.100544	61.492485	265.0576	234.44118	257.25955	247.57147	248.52284
Rv0003	20.17894	25.17936	24.053041	24.56016	22.560802	29.616524	76.91378	75.81648	90.94785	28.241528	27.774948	8.510075	27.013138	21.5389	55.710712	30.060858	23.275103	21.237446	11.74178	5.3062367	26.389677	23.19517	25.74886	19.014685	23.269955	23.415888	17.750092	16.57988	21.682503	14.597013	16.520452	26.624548	37.700394	19.192274	15.918187	19.6276	23.538443	18.110744	30.134531	21.914726	34.025166	21.03076	24.859724	22.741058	23.268167	18.68022	21.001257	20.091358	18.5649	14.102913	22.313148	68.41495	69.897026	70.76574	17.126318	13.090692	21.938293	14.46345	15.076115	12.1128025	88.45187	83.64347	89.25898	50.908264	45.67896	53.72474	79.98978	94.54651	194.44319	201.88857	192.10353
Rv0004	41.726234	37.46207	30.456038	31.840775	41.304195	23.535622	92.256355	76.485794	105.00834	26.535181	26.672411	31.803478	24.482855	49.995495	68.173416	40.617214	41.704678	25.354515	8.610574	43.114513	34.747063	41.335583	34.797512	37.354313	39.96703	30.43787	34.58007	43.95438	45.524876	58.59011	43.332	53.723763	30.23986	57.57205	30.163048	28.777905	31.420418	20.743048	31.937428	22.36107	52.63837	28.141808	33.720158	42.90947	31.99078	25.425354	22.227795	33.39137	31.337086	42.980125	27.670578	68.66317	68.53921	68.11088	17.540493	18.752573	39.005142	17.62872	11.235872	15.005246	95.0585	73.699234	100.17437	67.76587	60.60104	55.313477	65.03771	60.732983	198.49913	195.11942	206.07007
Rv0005	662.6592	799.4957	733.4277	778.7958	816.47473	886.6698	1489.0825	1644.7938	1685.0824	748.9768	769.7079	661.3649	968.3572	885.8227	1206.5875	1156.8679	1044.5392	1021.34607	622.3599	729.41785	520.4724	745.9326	809.2041	643.7636	913.42194	835.2878	813.40356	671.1938	759.8356	749.2436	1300.6545	1162.6173	1088.5958	326.43375	474.01855	420.64426	894.66	712.5562	837.7211	745.36896	792.81055	600.1008	210.96733	500.6803	349.30383	231.41621	270.64084	288.5648	698.71875	839.2045	763.31104	824.11914	770.9305	825.83496	367.8621	333.04324	273.37195	470.51462	348.25778	479.86475	757.8898	650.7914	657.9444	425.7016	394.16928	402.70914	444.99573	484.18848	583.0256	623.49677	490.8967
Rv0006	251.7638	288.9448	245.08505	355.34497	369.10452	399.85217	881.781	965.7987	965.7987	380.8247	392.80347	310.0247	344.00195	312.74905	400.26456	464.85022	404.28937	443.7226	289.44882	281.59204	172.58415	276.20074	293.1143	206.33206	357.49622	320.29282	332.9887	248.03021	290.43097	235.69688	487.91864	443.62317	468.24298	184.62561	210.9509	203.51326	370.1422	326.9203	371.66528	187.8212	189.67871	154.20378	124.1844	193.40308	180.64302	114.959625	144.73277	137.44153	256.79834	290.43097	222.9416	575.8219	539.885	562.193	195.70776	147.13287	170.51883	116.76724	120.20916	129.62376	369.2339	368.09958	482.81223	286.61407	218.6332	251.1716	617.2464	646.01184	700.9739	754.17554	781.67303
Rv0007	114.64313	124.58812	88.40557	92.59201	114.17787	126.81868	383.5895	398.9591	477.87408	144.53595	167.7763	147.6182	66.48472	81.02115	58.21238	161.4968	134.79616	126.69624	59.031937	73.63173	95.22104	119.399796	111.291245	90.34562	143.93083	119.82808	148.76338	116.09881	87.57482	95.58591	189.90715	196.2954	165.04286	94.14457	131.36975	110.56181	145.48335	146.2249	141.666	65.95368	60.852867	57.792374	85.37883	70.065445	94.40894	95.35469	102.60393	108.038956	128.41339	91.26135	109.040344	347.7988	364.52255	333.3248	81.40179	61.755646	77.241295	59.15366	71.274345	52.314613	182.22838	182.8583	329.75787	195.47821	166.28334	184.58432	236.2837	227.2542	390.10065	445.47754	384.48834
Rv0008c	66.878746	63.672024	61.479668	64.04164	69.95467	35.03969	70.41586	73.44898	74.63528	37.936752	37.472145	44.09761	50.863968	59.659016	74.24762	50.974007	52.634106	31.491379	67.76965	31.069433	55.4035	60.817566	48.752583	73.948074	58.689274	62.48626	70.636086	67.03128	70.16576	100.89403	41.16414	16.07452	28.25404	65.74101	52.268	48.76832	60.117508	72.7489	56.091404	53.975464	57.870777	44.830124	35.957638	50.121662	54.37519	74.337585	77.92862	57.826485	32.894077	58.35491	42.72055	78.529755	85.660774	84.60013	27.50035	48.215717	39.61266	62.39551	45.318222	83.71293	92.27611	93.17313	98.073456	72.69131	90.74608	86.72073	34.501507	34.3324	79.893745	74.001	75.673485
Rv0009	290.43097	305.22778	364.6377	273.58917	289.34283	329.48798	310.37695	248.21523	337.206	174.518	224.56483	175.66417	241.84764	177.93756	196.5743	284.04892	324.4078	340.1719	251.6629	302.38113	250.48174	296.4058	301.23648	398.66168	261.8148	306.14633	252.1059	354.68054	443.71252	425.8988	82.047386	74.311386	70.09246	126.857704	183.96887	168.2961	251.86913	263.18967	362.41086	441.76135	435.19122	439.5441	83.80173	126.3665	83.40105	248.53226	211.72961	211.72961	255.5726	214.10463	334.42877	179.38705	185.5951	173.08022	238.30405	179.5494	128.61017	188.85223	151.37361	258.04395	460.297	417.5372	749.4228	352.99847	285.38544	302.29044	256.0047	298.63193	810.028	767.8126	585.32306
Rv0010c	124.77334	126.4528	128.32301	125.97808	139.21263	139.01765	257.59488	222.29419	301.74722	121.38971	144.95274	116.294365	88.63156	72.79778	92.14	155.57794	159.07472	143.2034	85.4886	124.57609	86.76749	132.60994	135.43877	167.41678	136.01001	149.20149	157.56882	95.83153	130.71591	132.10161	68.03293	59.266106	66.6866	95.335655	94.012474	86.12048	143.72917	151.86768	174.19667	281.08466	301.69733	237.0517	45.260063	84.4433	66.8534	93.798225	91.23585	106.12631	123.63898	132.45409	153.34354	110.14117	113.87001	115.55269	96.19441	129.05583	83.24818	118.05631	120.96953	129.44057	215.42282	198.64026	278.52438	134.5854	163.31639	146.01259	79.208176	105.60713	450.26294	434.59302	404.7456
Rv0011c	126.12125	100.75248	103.5096	93.04139	122.172485	114.84488	209.57643	193.558	237.01028	142.81508	133.66	132.42262	130.66577	64.18518	86.31585	104.35363	137.5976	135.3891	127.783035	74.342445	125.42237	80.15193	102.90125	151.32591	113.68343	111.29582	145.56703	112.86574	122.621735	143.90016	93.6714	104.498245	154.91763	192.67624	68.582634	78.02412	129.56516	142.82509	148.38184	310.46204	315.4157	243.30852	65.00816	65.47183	58.730556	101.476906	154.29675	141.33102	86.01469	113.69139	154.19577	129.54903	151.92274	143.04106	47.72375	125.727715	96.596756	115.11672	92.00845	164.12025	293.6954	225.66383	195.8926	181.6327	199.10524	190.27924	241.19693	325.05356	322.97083	344.3171	297.8182
Rv0012	275.1231	254.59132	274.81146	249.81485	298.4834	245.96004	183.23914	179.5442	183.97354	144.32709	114.0107	133.01764	232.29994	184.23337	166.1384	223.72311	201.74245	215.57568	262.21066	233.1497	192.77216	263.25198	237.5831	274.2955	245.16849	215.4805	184.2226	289.3197	293.69287	265.4115	123.052185	110.11447	105.53166	213.75359	237.87962	259.2638	227.13211	237.67108	192.29356	208.58119	193.68352	212.48097	98.513596	104.07105	115.51042	170.44327	153.82668	189.58391	306.3646	231.93893	262.2813	234.81427	220.34337	232.53905	339.57785	307.56494	361.23654	166.55673	194.12259	194.67075	203.54663	216.30243	202.58911	204.63068	230.28581	207.9905	220.39255	179.0209	189.7926	207.00465	203.94217
Rv0013	100.00157	101.95104	132.10161	113.58044	92.313324	66.54383	190.14159	170.74171	209.57643	74.59876	84.52636	89.54294	84.81881	87.970474	83.11242	118.05293	94.92746	90.626785	53.099815	79.84416	79.60825	116.76721	97.45032	124.875626	101.38691	102.79803	78.848625	121.41186	97.93401	109.6223	69.75545	106.5928	48.577095	84.196236	111.87838	100.891365	130.04997	109.020615	102.62019	96.84216	120.52134	123.75302	42.27073	63.028717	52.019806	88.17969	96.430534	90.86196	109.50381	121.71733	94.15096	285.7338	286.3225	276.71964	131.82382	126.94352	133.41235	103.51875	76.64679	91.207726	207.2101	168.60109	194.32002	112.01698	119.39875	113.366104	190.57367	173.32578	230.41925	216.74832	221.72816
Rv0014c	84.70779	73.29782	76.08215	117.334404	115.371605	73.16406	143.86325	113.36891	152.31212	59.326855	56.977352	50.22675	63.9854	67.65645	55.62332	92.264915	72.4303	55.662674	54.251625	61.115894	46.48531	100.0085	93.43335	95.28	80.737404	73.9685	83.944786	99.024055	64.74155	91.44993	44.48515	28.82839	38.283474	93.76253	109.6969	105.738464	89.95151	103.536194	89.95151	54.04059	60.957394	92.74986	52.180805	51.093258	57.16903	64.791695	58.077557	58.016125	92.273926	70.466515	92.18716	47.4869	49.318966	45.848026	167.63078	150.4686	125.036545	48.18854	47.984123	41.589123	106.00728	81.41732	129.94943	69.231674	60.931587	59.662575	56.073963	56.114983	168.58595	163.00894	157.33644
Rv0015c	224.2713	213.04373	246.53687	234.37236	235.23749	159.66681	199.33105	172.48058	204.86305	192.4283	156.38144	216.48697	189.43752	192.74756	124.98761	189.19923	174.0248	206.02562	314.03583	221.64879	285.9175	274.60358	213.3364	234.86241	180.6822	206.58739	213.95786	231.30898	212.23895	225.34622	116.40986	52.265118	106.43035	279.34766	209.93292	247.43546	189.59528	260.69073	209.59125	85.11683	125.4584	136.82661	121.30755	109.326485	137.50832	243.759	198.42151	168.27919	250.60071	197.62823	215.41974	447.28296	460.84225	412.1222	928.9846	994.4222	884.6351	104.25041	159.7406	68.14303	100.522736	118.83074	168.60109	159.90152	169.82433	179.94026	57.4386	70.00862	231.01102	227.80603	234.83066
Rv0016c	118.721924	101.20783	128.8274	143.22346	138.81343	106.91159	160.30505	157.92183	168.0919	79.559166	61.474083	53.588524	94.96293	106.20683	104.58382	110.75057	103.072235	118.34321	84.58868	146.75215	92.769264	143.2338	115.72138	140.65779	95.82887	110.04136	103.06727	145.44415	86.74249	127.771866	61.77325	46.780994	45.485577	83.63437	114.89343	119.55023	127.709496	142.46524	122.59706	81.68943	85.66211	104.39255	54.23392	70.56827	74.15316	75.97206	95.66641	89.59322	114.73118	116.55619	105.37848	167.28156	161.85555	166.7989	154.34842	135.15439	147.35036	56.27509	60.838406	66.65481	89.95312	92.32486	107.93045	89.70625	87.05916	85.01012	58.286594	70.36333	148.14445	150.7756	139.93025
Rv0017c	89.05988	82.574875	106.47495	81.48342	111.26916	74.78461	150.45857	135.2898	153.2382	58.169662	62.211803	56.40768	68.68314	87.29249	92.30378	84.39056	72.727554	47.952682	24.668804	48.456978	38.9806	114.72567	80.93684	97.41002	80.401085	76.610855	72.44169	97.86612	95.0604	100.660126	43.847916	39.641125	23.370491	87.08384	116.168365	109.230354	102.44923	110.87441	87.721596	49.52746	80.48895	87.72152	53.695633	59.100704	63.275463	62.73057	62.605045	45.96456	83.16961	90.827	103.14251	95.4434	91.45924	101.66944	126.9992	146.62178	163.77289	54.14351	44.98814	60.201	95.35866	101.7114	111.44584	62.666515	58.210766	58.854904	32.894077	31.301357	97.82006	102.831154	86.045006
Rv0018c	217.28487	189.8276	234.13756	280.9556	273.2958	187.31616	268.50293	251.17033	272.733	134.00833	110.81188	105.10774	149.96098	193.57455	185.23497	194.89674	183.11423	151.04341	188.00812	179.87236	157.92445	270.75055	212.96729	256.47626	180.53413	192.8179	199.9896	227.64014	205.18016	233.97275	82.7388	66.23043	48.975452	152.47455	302.25223	292.64307	233.52826	259.1936	172.26616	117.14743	132.8743	185.5263	181.9094	176.47385	194.03726	285.7917	217.41656	194.96153	248.41228	179.40584	239.20087	229.41743	225.03346	224.17139	340.52942	405.15775	407.26465	122.92653	172.00797	128.86186	124.80582	106.27725	164.3352	114.815094	123.2864	123.2864	94.797516	110.308266	213.58517	209.43738	218.81024
Rv0019c	357.2315	280.41354	322.8508	373.74127	377.33432	326.9867	476.90356	394.79364	410.3184	225.73016	135.78064	171.0315	279.8962	303.71683	347.85205	336.652	284.86362	345.76535	373.6206	177.00824	263.15903	390.21802	321.632	400.36517	311.43222	298.13507	300.37714	370.8159	259.14923	306.3646	200.86348	135.62904	104.545395	421.98303	421.98303	441.54224	330.8473	323.8522	308.93097	243.30852	261.39432	312.3495	316.31607	280.93576	296.42468	411.6996	370.3534	285.3939	376.45453	263.66284	393.73975	366.27386	326.47668	322.15073	695.61554	712.69867	730.4136	319.6993	370.26544	344.987	247.158	258.80368	240.71574	259.8918	294.37024	282.72144	165.78282	159.03574	325.6285	333.95087	366.6119
Rv0020c	863.17725	747.35486	902.8265	752.31055	783.9602	652.419	683.40063	740.19574	703.34216	562.5764	562.5764	630.1623	836.38635	948.61365	734.49316	634.6428	638.2028	728.84894	884.17505	901.2398	1009.3655	834.75165	721.81836	795.7545	690.8503	639.677	671.2487	886.8717	689.2968	822.2975	449.9157	356.56976	420.6106	859.4879	649.6362	680.08154	650.1591	781.30316	679.1742	407.98883	400.4555	525.9653	425.9475	435.0367	461.22513	954.2273	837.29236	822.55066	784.08167	685.30066	858.1012	398.67038	443.33423	396.6265	680.2698	766.6405	809.03955	561.75073	647.54535	551.7778	358.71677	416.52823	597.2695	762.28094	834.72986	817.3399	324.1143	260.019	561.69666	569.6977	509.77362
Rv0021c	87.2379	78.808586	86.74249	54.923286	80.226456	83.07493	119.46881	123.81608	124.53581	57.06129	74.74926	68.84882	62.806023	53.58875	49.73665	75.91304	84.17669	93.44689	45.526085	70.81384	45.89518	89.32684	73.774254	75.52204	102.53883	85.264465	99.72658	77.16197	59.356716	67.22757	48.276707	58.887623	65.48442	52.11378	77.53823	71.21282	64.83528	52.63093	66.5465	88.07188	103.96657	98.391945	3721.0286	2036.6731	2536.3198	57.97829	75.08025	39.532616	95.76987	75.21365	64.63686	139.6797	140.46231	127.59225	60.227375	68.37238	60.18006	124.02377	99.8327	99.89724	239.86906	191.98694	172.31105	84.858086	107.41985	95.487976	34.010662	44.603825	141.64613	146.29811	120.12495
Rv0022c	2.0703447	1.2117028	7.693185	0.08680602	6.6606545	11.9359	31.587294	28.707481	23.9463	13.983276	17.356688	11.577707	10.472909	13.690643	0.9539683	3.1398854	3.4335508	12.797766	2.39393	16.571812	0.16374421	3.0416274	4.402107	3.0416274	3.0757751	4.152776	4.3467836	6.47346	1.4719864	8.128468	1.0350666	0.11985871	0.9424493	9.655909	5.82758	0.83508754	4.7398405	3.802271	3.7445962	12.635253	1.3822826	10.564893	1972.1469	1349.9584	1404.2651	5.5480657	3.2851586	4.2003865	4.677801	4.381531	1.1131898	37.16937	29.519922	29.40669	0.75521576	0.498147	1.2333695	10.001788	8.80497	0.37103546	416.52823	330.1569	225.97983	4.375403	7.1838455	4.574934	2.515108	0.76195693	42.884842	34.89483	42.103447
Rv0023	67.22757	59.40676	49.62284	74.092026	67.4056	60.647926	82.791824	68.41619	91.4605	29.799929	22.774399	49.2949	75.88122	57.19294	76.76356	45.85541	62.577477	39.246407	48.62197	26.99919	42.98745	88.34752	51.403877	61.90721	48.841194	42.171925	38.517437	60.119816	44.487732	80.22982	27.217306	20.586082	29.864323	44.88266	69.186195	59.34593	45.497173	57.17165	58.41221	45.909756	35.190735	47.23654	610.3628	421.07593	480.1679	60.88571	44.706734	23.080315	72.54087	62.431004	80.3277	40.864594	38.931843	41.67721	57.428856	77.11085	98.14624	27.745419	36.8904	31.257013	71.90703	77.36864	62.118374	57.869957	66.44514	73.65293	9.719642	8.728576	48.974243	48.750572	53.82246
Rv0024	120.785805	87.37917	133.73172	106.28931	117.27651	82.33712	70.145935	70.88548	78.6575	46.73063	46.225643	40.88265	82.29851	90.865746	60.36994	53.48413	56.277534	70.799355	135.92229	71.79198	109.86838	107.144875	74.880974	95.58685	63.294083	56.2363	38.886433	118.620445	90.51195	117.66159	63.20151	16.619118	27.065304	102.99128	100.40729	100.49105	64.40525	114.46237	67.66057	30.997211	38.217937	44.097675	678.7953	436.39438	483.36023	57.126564	77.6182	54.14611	113.84137	95.58591	126.29327	53.228817	64.47774	52.252174	117.18978	118.54925	126.43372	18.442263	42.008194	46.721012	55.428207	60.357754	59.506256	67.8998	82.551285	81.43079	14.738762	12.620586	60.61258	68.31851	69.327545
Rv0025	132.10161	88.20268	154.37897	90.79439	140.38448	85.224335	110.023384	85.76973	114.69299	52.151043	62.102863	38.658028	134.3892	98.83383	136.55632	70.24931	49.480587	148.54689	73.364105	74.25578	116.247314	121.77296	91.96451	121.66644	76.359886	61.42559	55.02959	107.695854	81.14978	132.9795	45.9996	47.012543	45.42257	46.78021	67.8835	73.22189	116.77708	99.716095	110.1902	61.22613	60.09187	93.5936	170.89194	134.71115	133.25319	62.994537	57.97829	36.071747	155.86475	64.63686	101.1171	84.75595	81.47563	87.04195	187.08319	88.1646	113.217606	57.869225	44.01405	40.48348	99.78474	94.09229	130.55501	115.88105	99.13394	112.431244	95.97701	111.202805	125.745186	106.50351	129.76984
Rv0026	77.26228	71.218925	73.182846	82.40309	88.12982	69.01941	65.62658	60.03504	69.016556	53.71703	59.553856	57.368225	66.56344	70.71321	68.03692	59.224617	62.241047	50.537155	54.997704	34.926514	50.827232	85.11516	64.712	94.060905	65.78915	65.649445	65.899185	87.53449	60.732983	74.37841	46.84842	45.431156	31.790413	63.696754	67.29076	66.41539	67.620766	81.28298	73.08496	113.44002	107.237724	129.54233	111.365036	107.29857	91.793015	42.00596	46.53842	45.259983	75.95227	70.04464	75.56926	103.07463	103.36432	114.304634	79.440384	60.372192	66.67526	50.460655	53.480865	81.76291	87.70477	77.812065	70.29297	68.94205	83.248436	74.73576	56.445057	51.486187	66.967804	69.58761	68.750244
Rv0027	70.10719	49.547016	75.49968	80.3277	63.6695	20.695425	69.30043	62.130512	51.596737	54.627045	76.25452	35.430878	66.12552	90.9478	37.81702	52.186035	57.406445	45.85541	82.913185	103.56437	46.276024	68.16581	44.771355	58.32838	55.898956	44.047962	45.836555	50.006176	32.994118	76.924355	44.112514	97.02524	189.45128	107.77772	58.007973	43.430756	64.9556	48.546032	46.155792	58.710224	61.76562	57.870777	70.35812	60.706657	44.50167	71.376755	66.99604	94.32514	77.049706	51.06728	45.524876	65.72333	53.576412	51.95429	49.833138	63.588013	49.145115	56.200455	66.17976	113.0415	149.83794	181.33199	69.74699	65.49264	79.01038	78.31538	130.89095	84.7779	76.62325	64.73914	66.79111
Rv0028	97.59975	81.91599	111.89374	97.42453	85.626175	85.460556	78.76034	117.89778	83.182625	63.141006	87.32156	43.28568	97.82918	103.24639	123.67314	70.43992	60.475647	73.71925	60.14454	142.52959	67.931076	91.11363	75.80645	85.24482	78.92709	58.192093	71.75536	91.05445	36.652466	128.58781	57.3485	50.118706	123.96127	87.38484	66.4607	67.7753	101.59	86.069	73.90077	78.822556	106.84947	97.59925	82.22995	100.26121	74.46578	111.97832	117.9616	99.23326	105.50106	104.623886	95.47833	77.28083	67.311554	71.3971	48.02066	58.5563	85.17568	86.84273	76.375595	131.69714	220.92375	159.85403	101.44415	142.56001	139.32986	127.27005	137.46175	94.037544	82.16474	89.75258	78.51479
Rv0029	74.170166	68.22035	69.30847	71.119194	78.602394	80.49893	50.919064	57.70956	45.325558	67.75558	51.026608	65.410255	57.00843	50.275944	45.50458	63.624916	69.94117	52.47728	43.13973	67.89239	42.279476	68.47251	69.808105	74.30592	66.848236	61.357914	69.55727	93.20328	72.846306	90.43659	51.554585	47.824524	40.80589	32.1027	50.0658	46.503708	70.00879	69.95431	69.31196	55.635212	49.6849	48.07416	41.285194	53.778923	35.114937	33.61718	45.84819	51.97684	58.033157	41.726234	110.39051	67.765526	68.486	67.493164	34.4701	27.014881	33.176033	51.210712	38.395405	55.024345	64.16091	71.264404	60.90781	58.184486	62.55507	59.983276	172.32935	150.01088	79.562065	83.80975	79.562065
Rv0030	75.21365	68.17976	97.93401	102.71743	61.653473	90.18821	46.527718	61.188507	55.553665	61.652584	50.598522	61.36691	53.762703	51.30299	29.673248	57.235916	59.879124	53.677704	111.11612	61.45703	67.11896	65.77368	63.88358	79.65594	47.602577	57.063354	53.553032	67.80535	51.434093	27.633356	30.673548	38.39632	36.471577	31.585989	58.393707	46.97067	65.51433	74.461586	55.246464	74.91971	84.3335	82.608086	85.742546	84.61742	76.00416	40.030136	48.605667	57.94471	68.05005	79.15098	94.797516	110.25066	120.87742	111.72494	50.82121	38.21517	60.527767	49.707783	53.63738	62.009506	132.54575	141.08624	90.953125	116.534645	120.67009	113.32461	250.3813	325.63013	110.44525	117.07652	123.65863
Rv0031	83.16961	53.60329	84.937584	138.41394	83.07493	63.618717	33.41696	65.726166	47.611515	46.50239	54.41879	41.7354	69.48998	60.233814	35.5936	68.30312	60.77795	26.032108	44.241096	31.863815	51.555965	88.912476	82.059364	66.02365	52.02435	68.38318	51.413708	96.76012	71.46484	51.983356	16.548477	50.579113	0.9424493	70.9697	56.913162	69.00991	48.088257	46.58545	57.66423	85.32839	84.794075	111.093445	45.000637	44.30583	36.161816	57.94471	40.45167	14.827062	32.685886	76.31762	100.96079	64.415504	61.49053	69.77508	83.67053	35.92862	53.206753	43.551994	36.719456	47.640896	86.11789	86.06979	44.72713	78.31538	106.004395	95.15428	61.780476	55.51576	64.18672	54.89282	67.16657
Rv0032	9.670576	10.1086	6.3217463	5.7399573	8.473424	13.145433	11.368362	8.485769	12.245412	10.4783745	6.3104725	4.9564657	11.001328	11.399723	6.2391334	6.8679824	5.4086056	11.869257	14.350379	16.104834	6.1084943	10.868273	9.605543	8.3611	8.088843	8.255513	7.9278703	7.4290156	5.0389414	5.130373	8.204242	5.881929	7.3387403	9.4667	5.595908	7.4614	8.936456	9.239798	3.474306	10.006873	9.37582	10.591764	14.468148	13.871381	13.516301	7.744637	7.6226816	9.796061	10.637503	9.278044	12.350497	23.380287	22.611982	23.716795	4.2717175	7.215015	4.962131	7.705423	5.8554735	7.7380795	19.796423	14.524539	26.47971	14.983595	13.730539	13.618951	14.696506	15.0684395	35.3326	33.96254	29.72659
Rv0033	1.487047	6.8528566	4.4001665	0.08680602	4.7336736	8.231681	6.2607813	5.669006	5.669006	0.037992388	4.439571	6.2323956	0.4600716	0.7514395	0.11239079	0.45993924	3.9627903	3.5437026	2.39393	18.480085	4.9566426	2.1902864	0.11511709	1.1382381	5.3212953	4.3467836	2.6605587	4.824711	28.22391	22.38327	4.346054	5.73855	0.9424493	8.772717	3.6385956	4.4452314	0.04273887	1.8553619	1.0364172	5.4692984	8.856586	3.3669283	1.3119565	1.422271	2.7317731	1.7338295	5.335131	11.71565	1.1131898	0.7972131	16.950596	24.236193	20.176125	20.724056	16.927923	6.3323374	3.152819	2.8055065	5.198644	8.044003	15.007589	8.05324	27.182793	9.774844	5.5446258	7.375797	11.866135	15.115228	25.46365	26.622713	31.489784
Rv0034	8.904832	6.6597104	18.857653	3.3394606	3.141162	7.9432793	13.699314	11.715972	6.024613	13.478395	19.004278	4.126883	5.8084645	11.931833	15.6245985	6.1435037	6.950881	13.267061	2.39393	17.405724	2.5420618	12.562343	2.9131742	6.2001066	7.7436194	6.208415	6.128517	0.7231314	3.4298718	8.44954	48.975452	0.11985871	0.9424493	10.5685835	5.3773527	9.100798	3.3258388	3.390298	7.868845	2.98596	0.49246138	15.025636	4.23559	9.449921	5.761035	1.0703074	1.1455529	15.742159	4.946113	9.329819	11.031249	9.863554	15.65163	16.44554	8.338778	8.244174	4.4087505	0.10144676	0.072345614	0.37103546	23.356268	22.948025	35.786102	17.44543	11.288124	10.793776	11.91815	15.475396	35.52022	32.777924	36.96492
Rv0035	23.354372	18.3069	32.07736	20.234863	24.427128	16.388605	26.556648	24.275274	31.061226	17.5467	13.463508	14.044908	17.445496	24.302628	31.709085	14.739971	15.486008	26.686527	10.525438	28.338467	23.928877	23.508076	18.589333	20.499062	18.447239	16.708115	14.162037	21.117025	25.98346	17.797237	10.751766	15.37763	19.348959	11.156567	13.894162	16.345312	19.710611	21.215744	17.166204	17.020452	19.83212	22.100306	7.362121	14.031845	11.480315	12.466638	17.260561	19.521534	16.832413	17.03904	21.619907	37.56458	37.81052	37.406857	26.958761	12.026392	18.40845	20.474709	17.19896	14.034436	41.172726	33.77849	48.09698	32.871655	30.155119	34.105377	28.988472	27.590328	66.286545	67.43436	63.44992
Rv0036c	144.0937	117.243004	156.41107	134.1117	169.25092	102.34108	133.85919	137.17665	126.03529	85.086365	60.567066	76.04497	109.02807	75.08066	99.50662	83.909386	100.22087	117.411125	173.63272	67.540985	125.6949	143.98112	126.714485	134.05666	98.70603	82.83767	86.878365	158.11426	95.58591	127.65184	69.30676	62.244965	53.723763	96.57676	98.206604	88.541466	88.91029	112.72532	86.970764	47.3206	63.33327	70.03946	60.369877	60.348198	56.474865	82.738205	122.218285	114.127266	137.51851	107.85578	122.751785	193.20522	193.231	181.47786	140.86292	110.03264	121.50629	52.233795	86.678665	73.50307	137.11836	160.4347	177.64725	202.69168	176.06247	169.50543	171.77794	152.26038	218.9109	207.93484	205.81564
Rv0037c	239.31981	194.65215	251.07442	157.57385	205.83607	119.157776	56.67809	66.73426	65.08404	77.73761	99.39388	106.85152	108.88731	145.39493	119.86278	101.600204	96.25719	111.8987	122.358955	108.3793	189.62079	207.72409	154.95096	210.89679	122.13322	92.63415	111.97285	165.93236	189.12146	250.3813	69.85491	46.661774	47.431732	149.18935	158.32504	156.02048	141.79865	120.48043	98.680504	83.85471	89.31144	109.707344	94.67346	83.40105	76.209465	111.5597	103.06055	99.396286	220.9916	179.63335	265.78116	220.34337	223.11255	219.47983	145.65198	174.1077	194.78351	89.96839	103.51875	82.39037	78.38454	80.769585	86.48608	90.989815	112.626495	113.85048	71.9008	62.758457	122.182945	119.55809	114.47607
