	WT1	WT2	WT3	PknF_KO1	PknF_KO2	PknF_KO3	PknF_IND1	PknF_IND2	PknF_IND3	PknG_KO1	PknG_KO2	PknG_KO3	PknG_IND1	PknG_IND2	PknG_IND3	PknI_KO1	PknI_KO2	PknI_KO3	PknI_IND1	PknI_IND2	PknI_IND3	PknJ_KO1	PknJ_KO2	PknJ_KO3	PknL_KO1	PknL_KO2	PknL_KO3	WT4	WT5	WT6	PknD_IND1	PknD_IND2	PknD_IND3	PknD_KO1	PknD_KO2	PknD_KO3	PknH_KO1	PknH_KO2	PknH_KO3	PknH_IND1	PknH_IND2	PknH_IND3	PknK_IND1	PknK_IND2	PknK_IND3	PknK_KO1	PknK_KO2	PknK_KO3	WT7	WT8	WT9	PknB_KD1	PknB_KD2	PknB_KD3	PknB_IND1	PknB_IND2	PknB_IND3	PknE_KO1	PknE_KO2	PknE_KO3	PknE_IND1	PknE_IND2	PknE_IND3	PknJ_IND1	PknJ_IND2	PknJ_IND3	WT10	WT11	PknL_IND1	PknL_IND2	PknL_IND3
Rv1905c	150.01088	135.19786	139.8203	147.50429	126.173874	148.64384	106.48261	95.37805	112.54203	148.49619	155.85089	137.64824	113.74194	116.83386	119.21051	138.0644	141.1266	123.54361	108.19997	127.53644	99.566246	131.27798	128.77318	144.76447	135.85078	124.65771	140.72952	116.34404	140.77805	209.52692	79.65098	82.32148	102.99262	94.19326	84.843254	86.01002	150.03722	164.09616	168.68513	185.05748	170.71002	147.03378	125.31479	127.02934	138.68565	84.8639	102.37551	138.56592	151.89957	187.58151	151.37657	170.28094	178.31508	170.70934	90.62049	115.72745	100.0948	89.485466	110.15882	120.96953	136.75764	117.21194	109.20174	96.85473	115.88105	108.71925	145.33861	190.80527	223.94705	221.58739	222.61305
Rv1906c	378.471	351.09262	421.5533	326.9867	397.2456	372.8331	305.67136	308.51987	298.34348	222.36215	283.92856	300.55576	450.3255	438.24713	450.79025	360.2334	356.76135	358.55157	362.51123	441.73175	398.5208	357.20053	340.36285	357.20053	295.2909	299.1466	260.2984	429.28778	336.8863	440.39532	149.47824	138.1766	135.75359	202.95923	215.8715	221.3704	406.09323	334.86487	397.32703	403.51044	398.345	366.65396	222.65323	231.11536	203.86261	276.01462	225.76665	231.9267	343.4026	368.91156	447.40472	175.51233	184.02095	200.87585	214.90771	270.13977	221.1514	261.16815	165.61801	230.4768	249.58855	298.33603	228.16823	220.15996	237.80795	232.63588	348.23578	518.2672	349.16748	335.07776	352.80463
Rv1907c	76.90365	77.16197	84.02813	72.79249	65.86474	91.83548	126.90503	124.53581	124.89533	72.98037	56.63322	49.465714	167.97653	171.3406	146.83585	64.80766	77.284904	89.7963	154.91956	71.13689	105.17512	80.08055	73.264175	71.97874	85.40245	74.104805	86.83472	93.92271	86.990036	125.664085	94.64974	140.1274	127.076035	91.4767	98.41486	99.997475	74.32145	73.24644	66.32509	67.00094	51.482254	78.49176	260.57727	228.32027	207.97057	53.688015	55.002956	43.347927	91.69885	81.05145	76.617645	157.06827	136.1637	154.21478	161.63649	137.94202	127.78732	70.36162	75.56626	61.08287	132.99872	102.21038	83.53049	81.25286	93.12665	88.75516	304.55798	206.51605	176.55414	161.89635	169.1163
Rv1908c	419.55664	379.35254	570.7644	378.71103	384.14722	377.33432	374.9662	323.6617	316.71384	338.01303	316.6678	372.75067	823.2506	755.4387	568.61365	318.28943	396.1778	370.01028	880.54083	667.27515	664.17633	379.46362	304.24072	296.5154	372.80896	394.29242	439.11414	466.6214	378.471	426.44046	756.3688	698.9525	644.91046	544.77637	429.72342	421.98303	363.73627	399.19034	304.19534	234.88573	228.47864	283.63635	916.8033	744.9577	761.90735	346.71426	394.2696	342.8684	436.85474	358.78458	403.1068	600.4637	559.69006	596.1801	548.6976	543.56793	549.68146	327.85098	434.40997	352.26324	494.05585	442.79898	440.51068	287.92715	323.677	331.7598	1647.6638	1139.6073	552.1718	547.4156	522.6405
Rv1909c	397.71365	352.52737	444.3381	297.18506	328.11868	234.37236	296.18103	264.70322	236.33252	155.88617	168.92148	139.3436	636.42346	490.80142	603.44104	179.95894	259.3723	182.0679	386.75677	366.06146	183.76651	344.9279	267.45428	272.2639	235.8736	194.83192	183.7318	411.48898	351.75586	537.1837	418.57196	555.9091	589.85876	84.843254	266.9221	236.41536	297.35294	299.3071	266.19562	178.59802	139.54999	182.97261	508.22083	493.53815	457.49503	165.6613	125.98703	105.19456	397.71365	406.88596	544.2909	400.17508	401.48444	414.89954	354.90942	279.61362	269.47455	209.77931	163.94333	123.87376	349.9572	330.40747	205.4293	158.80815	167.02637	180.9269	299.2222	311.54007	296.11053	281.47702	293.75397
Rv1910c	59.644775	60.778633	59.771774	56.39282	43.78731	23.559187	61.188507	65.22213	56.898994	30.08861	38.2232	24.720001	64.10053	49.082954	54.613132	46.337154	43.229683	31.144226	31.961365	57.360622	45.50176	47.08676	47.242943	60.251236	40.010395	41.00328	33.48439	60.422035	64.77161	56.60292	62.526627	35.038734	22.54573	29.461805	46.573	41.858692	51.63906	45.745255	18.938097	38.49699	41.888325	49.994953	81.258675	73.55649	78.86173	48.249405	28.864164	50.39752	68.22035	35.82153	55.39697	101.14422	108.532104	101.912506	39.142155	49.71578	47.085876	46.00415	44.496326	32.80812	73.25825	74.493225	45.98567	53.94247	73.27931	67.18128	154.7075	131.08104	77.313	77.81928	82.16474
Rv1911c	110.51789	97.68955	85.36317	96.69283	115.10495	108.33715	117.386406	163.7366	124.844185	81.39759	89.443726	94.45465	77.3754	53.71469	46.328438	74.250725	81.603836	94.172585	60.920933	73.23337	80.34506	90.87633	96.27857	104.95171	80.67918	73.93674	82.05571	129.76999	140.58177	116.19455	64.32154	81.19683	71.48999	116.98487	102.089714	93.197586	113.64407	99.10351	104.23672	117.68763	110.35976	117.39896	219.96735	151.92682	167.88542	93.330956	106.61725	69.475784	133.93306	131.27635	115.67288	194.54832	225.21999	212.69644	106.17557	91.90518	108.77037	70.53412	69.18962	61.32753	160.78152	172.38733	141.88414	170.44608	164.01585	152.31268	561.85785	525.91156	201.00516	188.22966	201.66492
Rv1912c	34.22604	34.60531	27.50546	28.557707	30.73024	25.418083	45.857456	42.045208	40.89261	26.399408	27.190336	55.913586	55.567295	62.96949	35.62797	19.01399	27.304413	32.000744	91.96789	50.357975	49.10002	31.70947	28.35128	28.858767	25.913319	36.235985	22.651583	43.77313	35.371296	34.501507	82.68009	39.55044	35.74816	30.376194	30.851614	30.869316	28.087147	27.947983	30.292667	23.873854	27.50105	22.276136	42.127876	61.836037	60.431484	41.124992	24.705929	43.491848	33.734615	33.821064	31.28545	78.27856	86.25681	80.93211	40.60035	37.421253	48.304016	19.145725	17.186953	23.399937	97.159065	100.35098	90.218	102.00105	92.4539	93.89105	48.330044	39.45569	62.39211	57.716515	63.698235
Rv1913	49.840797	32.454433	44.640083	45.18455	42.5698	30.375933	34.89654	31.5992	28.381367	25.052975	28.36427	25.805939	40.704807	45.20989	43.55762	26.947308	33.736122	58.903313	2.39393	20.062944	41.915527	28.591965	36.50444	38.93457	25.886822	27.693453	26.19716	37.906044	29.81105	48.493057	12.503452	14.421025	5.7099986	11.037333	29.511112	25.40071	31.665398	26.165604	28.417894	34.548317	23.986471	26.932358	37.24811	36.234524	27.571712	21.335209	31.37032	25.27516	29.31384	41.531197	42.980125	38.593567	45.108284	49.67968	19.443863	15.339367	25.019356	18.0093	17.132565	18.356318	39.68519	46.257656	35.58226	59.149776	57.537502	55.189156	36.769943	39.401237	51.53068	47.69706	51.416786
Rv1914c	41.459972	37.102303	31.030685	29.021105	41.2922	35.077522	22.301508	26.771446	27.30878	13.630069	26.385468	35.09174	31.744396	20.810204	9.805899	31.652939	18.568604	14.329703	45.99893	17.011915	35.098267	15.527827	37.641964	30.392115	25.796246	25.037783	19.462585	22.528143	59.137547	48.43144	24.418638	13.905154	8.370626	18.363361	25.208235	23.86226	38.8695	51.60225	33.3375	28.896984	37.5618	26.574009	29.545391	31.685556	34.369583	18.39738	32.834785	28.496504	57.70517	43.5884	26.555552	40.636272	40.151024	45.032513	18.630121	25.840385	18.33566	22.863754	24.39404	22.169476	56.32439	37.70056	50.595657	46.40702	37.811333	37.173203	64.63686	80.57871	76.05405	66.33848	80.865555
Rv1915	313.00977	282.60687	312.6319	250.62093	285.92703	247.1428	202.15938	161.22412	173.61414	207.9759	174.70465	187.1913	286.712	311.49643	292.43774	234.0068	221.15526	221.24478	264.76978	304.54077	238.56235	301.23648	299.8761	287.7095	259.54938	244.1211	224.2385	345.98016	227.8855	320.17108	262.91064	186.96463	245.22662	295.80154	287.7015	288.7927	254.78148	288.4324	249.24622	176.1816	209.25719	231.75237	230.86514	261.51047	257.12677	274.60318	220.97519	233.51257	304.55798	263.4006	313.00977	183.46715	192.63733	195.31389	305.70377	383.81088	390.59225	229.345	218.28207	253.28244	276.83435	285.4165	255.93167	367.3178	343.1618	349.40826	414.8082	351.75586	201.88857	194.44319	209.18236
Rv1916	126.29327	118.317276	112.56533	117.41793	104.26992	127.95275	90.39135	87.22694	72.21595	74.86163	82.8388	84.393036	154.22633	154.65274	115.06667	88.51232	86.71583	87.40929	84.93266	100.22498	83.961754	125.209946	106.649025	108.18531	105.238914	100.70442	92.9995	150.65854	106.47495	123.63898	99.43681	107.38925	75.725006	145.32825	133.74443	119.372345	122.39309	131.84401	116.66872	82.792465	95.01729	101.61238	114.50937	113.818016	121.798004	110.41456	110.02455	104.738625	141.1375	110.39051	130.89095	72.52426	83.30102	85.06765	196.64583	157.08418	195.25658	83.71293	92.12285	95.12746	161.84154	177.82715	138.74492	163.31639	172.36377	174.93678	264.2553	217.84064	118.56299	113.07081	121.61635
